time,control_type,position_x,position_y,position_z,desired_position_x,desired_position_y,desired_position_z,position_error_norm,orientation_error_deg,control_effort,oscillation_index
5.153,open_loop,0.322962,-0.0148807,0.519325,0.498366,-0.0999867,0.300003,0.293448,5.60926,29.4101,0.178122
5.154,open_loop,0.323051,-0.0151028,0.5185,0.498334,-0.0999861,0.300003,0.292695,5.66393,29.3362,0.119483
5.155,open_loop,0.323137,-0.0153351,0.517667,0.498302,-0.0999856,0.300003,0.291935,5.7191,29.2617,0.192383
5.156,open_loop,0.323225,-0.0155624,0.516836,0.498269,-0.099985,0.300003,0.291178,5.77387,29.1875,0.0898481
5.157,open_loop,0.323309,-0.0157958,0.515998,0.498236,-0.0999844,0.300003,0.290415,5.82855,29.1127,0.178329
5.158,open_loop,0.323398,-0.0160217,0.515162,0.498203,-0.0999839,0.300003,0.289655,5.88322,29.0382,0.118375
5.159,open_loop,0.323483,-0.0162578,0.514319,0.498169,-0.0999832,0.300003,0.288889,5.93834,28.9632,0.192375
5.16,open_loop,0.32357,-0.0164888,0.513479,0.498135,-0.0999826,0.300003,0.288125,5.99302,28.8884,0.0894773
5.161,open_loop,0.323654,-0.0167258,0.512631,0.4981,-0.099982,0.300003,0.287357,6.04757,28.8131,0.178283
5.162,open_loop,0.323742,-0.0169553,0.511786,0.498065,-0.0999813,0.300003,0.286591,6.10207,28.7381,0.117089
5.163,open_loop,0.323826,-0.0171949,0.510934,0.49803,-0.0999806,0.300003,0.285819,6.15697,28.6626,0.192047
5.164,open_loop,0.323913,-0.0174295,0.510085,0.497994,-0.0999799,0.300003,0.28505,6.21141,28.5873,0.089197
5.165,open_loop,0.323996,-0.01767,0.509228,0.497957,-0.0999791,0.300003,0.284276,6.26568,28.5116,0.177545
5.166,open_loop,0.324083,-0.0179031,0.508375,0.49792,-0.0999784,0.300003,0.283505,6.31988,28.4362,0.115038
5.167,open_loop,0.324166,-0.0181461,0.507514,0.497883,-0.0999776,0.300003,0.282728,6.37441,28.3602,0.191106
5.168,open_loop,0.324251,-0.0183845,0.506657,0.497846,-0.0999768,0.300003,0.281954,6.42848,28.2846,0.0883304
5.169,open_loop,0.324331,-0.0186276,0.505792,0.497807,-0.099976,0.300003,0.281178,6.48239,28.2087,0.183754
5.17,open_loop,0.324413,-0.0188709,0.50493,0.497769,-0.0999751,0.300003,0.280402,6.53618,28.1329,0.0980487
5.171,open_loop,0.324496,-0.0191119,0.504069,0.49773,-0.0999742,0.300003,0.279628,6.58965,28.0573,0.107914
5.172,open_loop,0.324577,-0.019357,0.503201,0.497691,-0.0999733,0.300003,0.278849,6.64269,27.9811,0.180359
5.173,open_loop,0.324663,-0.0195943,0.502335,0.497651,-0.0999724,0.300003,0.278071,6.69581,27.9052,0.134415
5.174,open_loop,0.324746,-0.0198416,0.50146,0.497611,-0.0999714,0.300003,0.277287,6.74946,27.8286,0.196584
5.175,open_loop,0.324832,-0.0200844,0.500588,0.49757,-0.0999705,0.300003,0.276505,6.80282,27.7523,0.0950253
