time,phase,pos_x,pos_y,pos_z,force_x,force_y,force_z,force_magnitude,depth,target_force
1.567000,1,0.312142,0.002072,0.521081,0.000000,0.000000,1.000000,1.000000,-0.016081,10.000000
1.577000,1,0.312139,0.002077,0.521084,0.000000,0.000000,1.000000,1.000000,-0.016084,10.000000
1.587000,1,0.312143,0.002091,0.521085,0.000000,0.000000,1.000000,1.000000,-0.016085,10.000000
1.597000,1,0.312139,0.002097,0.521084,0.000000,0.000000,1.000000,1.000000,-0.016084,10.000000
1.607000,1,0.312140,0.002106,0.521084,0.000000,0.000000,1.000000,1.000000,-0.016084,10.000000
1.617000,1,0.312138,0.002113,0.521080,0.000000,0.000000,1.000000,1.000000,-0.016080,10.000000
1.627000,1,0.312138,0.002126,0.521085,0.000000,0.000000,1.000000,1.000000,-0.016085,10.000000
1.637000,1,0.312137,0.002132,0.521079,0.000000,0.000000,1.000000,1.000000,-0.016079,10.000000
1.647000,1,0.312134,0.002136,0.521081,0.000000,0.000000,1.000000,1.000000,-0.016081,10.000000
1.657000,1,0.312138,0.002150,0.521083,0.000000,0.000000,1.000000,1.000000,-0.016083,10.000000
1.667000,1,0.312135,0.002155,0.521082,0.000000,0.000000,1.000000,1.000000,-0.016082,10.000000
1.677000,1,0.312135,0.002163,0.521082,0.000000,0.000000,1.000000,1.000000,-0.016082,10.000000
1.687000,1,0.312134,0.002170,0.521078,0.000000,0.000000,1.000000,1.000000,-0.016078,10.000000
1.697000,1,0.312133,0.002182,0.521083,0.000000,0.000000,1.000000,1.000000,-0.016083,10.000000
1.707000,1,0.312133,0.002188,0.521077,0.000000,0.000000,1.000000,1.000000,-0.016077,10.000000
1.717000,1,0.312130,0.002191,0.521079,0.000000,0.000000,1.000000,1.000000,-0.016079,10.000000
1.727000,1,0.312134,0.002204,0.521081,0.000000,0.000000,1.000000,1.000000,-0.016081,10.000000
1.737000,1,0.312130,0.002209,0.521080,0.000000,0.000000,1.000000,1.000000,-0.016080,10.000000
1.747000,1,0.312131,0.002217,0.521080,0.000000,0.000000,1.000000,1.000000,-0.016080,10.000000
1.757000,1,0.312129,0.002223,0.521076,0.000000,0.000000,1.000000,1.000000,-0.016076,10.000000
1.767000,1,0.312129,0.002234,0.521081,0.000000,0.000000,1.000000,1.000000,-0.016081,10.000000
1.777000,1,0.312129,0.002239,0.521076,0.000000,0.000000,1.000000,1.000000,-0.016076,10.000000
1.787000,1,0.312126,0.002242,0.521078,0.000000,0.000000,1.000000,1.000000,-0.016078,10.000000
1.797000,1,0.312130,0.002255,0.521079,0.000000,0.000000,1.000000,1.000000,-0.016079,10.000000
1.807000,1,0.312126,0.002259,0.521078,0.000000,0.000000,1.000000,1.000000,-0.016078,10.000000
1.817000,1,0.312127,0.002266,0.521078,0.000000,0.000000,1.000000,1.000000,-0.016078,10.000000
1.827000,1,0.312126,0.002271,0.521075,0.000000,0.000000,1.000000,1.000000,-0.016075,10.000000
1.837000,1,0.312125,0.002282,0.521080,0.000000,0.000000,1.000000,1.000000,-0.016080,10.000000
1.847000,1,0.312125,0.002287,0.521074,0.000000,0.000000,1.000000,1.000000,-0.016074,10.000000
1.857000,1,0.312122,0.002289,0.521076,0.000000,0.000000,1.000000,1.000000,-0.016076,10.000000
1.867000,1,0.312126,0.002301,0.521078,0.000000,0.000000,1.000000,1.000000,-0.016078,10.000000
1.877000,1,0.312123,0.002305,0.521077,0.000000,0.000000,1.000000,1.000000,-0.016077,10.000000
1.887000,1,0.312123,0.002311,0.521077,0.000000,0.000000,1.000000,1.000000,-0.016077,10.000000
1.897000,1,0.312122,0.002316,0.521073,0.000000,0.000000,1.000000,1.000000,-0.016073,10.000000
1.907000,1,0.312122,0.002326,0.521078,0.000000,0.000000,1.000000,1.000000,-0.016078,10.000000
1.917000,1,0.312121,0.002331,0.521073,0.000000,0.000000,1.000000,1.000000,-0.016073,10.000000
1.927000,1,0.312118,0.002333,0.521075,0.000000,0.000000,1.000000,1.000000,-0.016075,10.000000
1.937000,1,0.312123,0.002344,0.521076,0.000000,0.000000,1.000000,1.000000,-0.016076,10.000000
1.947000,1,0.312119,0.002347,0.521076,0.000000,0.000000,1.000000,1.000000,-0.016076,10.000000
1.957000,1,0.312120,0.002353,0.521075,0.000000,0.000000,1.000000,1.000000,-0.016075,10.000000
1.967000,1,0.312119,0.002358,0.521072,0.000000,0.000000,1.000000,1.000000,-0.016072,10.000000
1.977000,1,0.312118,0.002368,0.521077,0.000000,0.000000,1.000000,1.000000,-0.016077,10.000000
1.987000,1,0.312118,0.002371,0.521071,0.000000,0.000000,1.000000,1.000000,-0.016071,10.000000
